$N_{ch}$,$N_{ch}$ LOW,$N_{ch}$ HIGH,$P(N_{ch})$,error +,error -
0.0,-0.5,0.5,0.14920131,0.0290182,-0.0290182
1.0,0.5,1.5,0.11295811,0.00145849,-0.00145849
2.0,1.5,2.5,0.11074057,0.00562643,-0.00562643
3.0,2.5,3.5,0.09632786,0.00697714,-0.00697714
4.0,3.5,4.5,0.08116011,0.00544979,-0.00544979
5.0,4.5,5.5,0.06783134,0.00531345,-0.00531345
6.0,5.5,6.5,0.05660526,0.00427128,-0.00427128
7.0,6.5,7.5,0.04790165,0.00417159,-0.00417159
8.0,7.5,8.5,0.04080807,0.0034314,-0.0034314
9.0,8.5,9.5,0.03543896,0.00289534,-0.00289534
10.0,9.5,10.5,0.03153381,0.00290742,-0.00290742
11.0,10.5,11.5,0.02617659,0.00185149,-0.00185149
12.0,11.5,12.5,0.02129477,0.00181999,-0.00181999
13.0,12.5,13.5,0.01874301,0.00146558,-0.00146558
14.0,13.5,14.5,0.0166915,0.00161658,-0.00161658
15.0,14.5,15.5,0.01495807,0.0017231,-0.0017231
16.0,15.5,16.5,0.0121141,0.00113109,-0.00113109
17.0,16.5,17.5,0.01007696,0.00116733,-0.00116733
18.0,17.5,18.5,0.00853974,0.00085947,-0.00085947
19.0,18.5,19.5,0.007351,0.00057365,-0.00057365
20.0,19.5,20.5,0.00626562,0.00066199,-0.00066199
21.0,20.5,21.5,0.00520842,0.00056733,-0.00056733
22.0,21.5,22.5,0.00428237,0.00045678,-0.00045678
23.0,22.5,23.5,0.00352045,0.00030592,-0.00030592
24.0,23.5,24.5,0.00293408,0.00025915,-0.00025915
25.0,24.5,25.5,0.00249565,0.00023033,-0.00023033
26.0,25.5,26.5,0.00206352,0.00023195,-0.00023195
27.0,26.5,27.5,0.00169075,0.00019365,-0.00019365
28.0,27.5,28.5,0.00138559,0.0001448,-0.0001448
29.0,28.5,29.5,0.00112985,0.00011657,-0.00011657
30.0,29.5,30.5,0.00092149,9.881e-05,-9.881e-05
31.0,30.5,31.5,0.00075564,8.571e-05,-8.571e-05
32.0,31.5,32.5,0.00061391,7.629e-05,-7.629e-05
33.0,32.5,33.5,0.000496,6.461e-05,-6.461e-05
34.0,33.5,34.5,0.0003994,5.232e-05,-5.232e-05
35.0,34.5,35.5,0.00032142,4.142e-05,-4.142e-05
36.0,35.5,36.5,0.00025838,3.332e-05,-3.332e-05
37.0,36.5,37.5,0.00020733,2.762e-05,-2.762e-05
38.0,37.5,38.5,0.00016641,2.299e-05,-2.299e-05
39.0,38.5,39.5,0.00013338,1.921e-05,-1.921e-05
40.0,39.5,40.5,0.00010677,1.598e-05,-1.598e-05
41.0,40.5,41.5,8.544e-05,1.313e-05,-1.313e-05
42.0,41.5,42.5,6.826e-05,1.07e-05,-1.07e-05
43.0,42.5,43.5,5.435e-05,8.69e-06,-8.69e-06
44.0,43.5,44.5,4.306e-05,7.07e-06,-7.07e-06
45.0,44.5,45.5,3.394e-05,5.73e-06,-5.73e-06
46.0,45.5,46.5,2.663e-05,4.63e-06,-4.63e-06
47.0,46.5,47.5,2.076e-05,3.79e-06,-3.79e-06
48.0,47.5,48.5,1.613e-05,3.1e-06,-3.1e-06
49.0,48.5,49.5,1.251e-05,2.52e-06,-2.52e-06
50.0,49.5,50.5,9.68e-06,2.03e-06,-2.03e-06
51.0,50.5,51.5,7.45e-06,1.67e-06,-1.67e-06
52.0,51.5,52.5,5.74e-06,1.36e-06,-1.36e-06
53.0,52.5,53.5,4.42e-06,1.11e-06,-1.11e-06
54.0,53.5,54.5,3.42e-06,9e-07,-9e-07
55.0,54.5,55.5,2.66e-06,7.3e-07,-7.3e-07
56.0,55.5,56.5,2.08e-06,6e-07,-6e-07
57.0,56.5,57.5,1.64e-06,4.9e-07,-4.9e-07
58.0,57.5,58.5,1.3e-06,4.1e-07,-4.1e-07
59.0,58.5,59.5,1.04e-06,3.4e-07,-3.4e-07
60.0,59.5,60.5,8.4e-07,2.8e-07,-2.8e-07
61.0,60.5,61.5,6.8e-07,2.3e-07,-2.3e-07
62.0,61.5,62.5,5.6e-07,1.9e-07,-1.9e-07
63.0,62.5,63.5,4.6e-07,1.6e-07,-1.6e-07
64.0,63.5,64.5,3.7e-07,1.3e-07,-1.3e-07
65.0,64.5,65.5,2.9e-07,1.2e-07,-1.2e-07
66.0,65.5,66.5,1.9e-07,1.5e-07,-1.5e-07
67.0,66.5,67.5,9e-08,1.9e-07,-1.9e-07

